"03013901","CENTRE PRIVAT E. INFANTIL, PRIMÀRIA I SECUNDÀRIA","ALFA I OMEGA","ALFA I OMEGA","Priv.","PD","SANTA LUCÍA B","12",3700,"DÉNIA","Alacant","965786472","965783610",38.8253,0.120297
"03005422","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA PADRE MANJÓN","PADRE MANJÓN","PADRE MANJÓN","Púb.","CL","PADRE MANJÓN","22",3600,"ELDA","Alacant","965381715","966980989",38.4751,-0.793065
"03004673","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","JAUME I","JAUME I","Púb.","CL","MANUEL CAMPELLO RUIZ","S/N",3205,"ELX","Alacant","965460031","966664037",38.274,-0.71638
"46020534","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","ANTONIO FERRANDIS","ANTONIO FERRANDIS","Púb.","PZ","LA YESA","S/N",46980,"PATERNA","València","963644011","963644011",39.5252,-0.432887
"03005938","ESCOLA INFANTIL","EL CAMP","ESCUELA INFANTIL EL CAMP","Púb.","CS","DEL CAMPO DE GUARDAMAR","S/N",3140,"GUARDAMAR DEL SEGURA","Alacant","966725994","",38.0627,-0.679672
"03005999","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","L'OM","L'OM","Púb.","CL","EL SALVADOR","S/N",3688,"FONDÓ DE LES NEUS (EL) CANALOSA (LA)","Alacant","965480591","",38.3047,-0.935479
"03006876","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","VICENTE LINO FERRANDIZ","VICENTE LINO FERRANDIZ","Púb.","CL","INDUSTRIA","48",3579,"ORXETA","Alacant","966855067","",38.5627,-0.262615
"03007972","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","LES ERES","LES ERES","Púb.","CL","EVARISTO MANERO","38",3578,"RELLEU","Alacant","966856094","966856094",38.5861,-0.311362
"03008009","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA PRÍNCIPE DE ESPAÑA","PRÍNCIPE DE ESPAÑA","PRÍNCIPE DE ESPAÑA","Púb.","CL","AITANA","2",3170,"ROJALES","Alacant","966714259","",38.084,-0.721696
"03003644","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","MESTRE JOAQUÍN CARTAGENA","MESTRE JOAQUÍN CARTAGENA","Púb.","CL","MUSIC JOSE ALBERO","23",3469,"CAMP DE MIRRA (EL)","Alacant","965820478","",38.688,-0.777476
"03003851","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","","COL·LEGI EDUCACIÓ INFANTIL I PRIMÀRIA","Púb.","CL","ALICANTE","5",3817,"CONFRIDES","Alacant","965885817","",38.6838,-0.269331
"03003899","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","PRIMO DE RIVERA","PRIMO DE RIVERA","Púb.","CL","JORGE JUAN","2",3330,"CREVILLENT","Alacant","965400538","965406461",38.2512,-0.812109
"03009831","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","JOANOT MARTORELL","JOANOT MARTORELL","Púb.","CL","CARRETERA","S/N",3787,"VALL DE GALLINERA BENIALI","Alacant","966406655","",38.8207,-0.221626
"03010855","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","OROSIA SILVESTRE","F.P.A. OROSIA SILVESTRE","Púb.","PJ","DEL VIADUCTE","1",3801,"ALCOI","Alacant","965549260","965549260",38.699,-0.468998
"03008629","INSTITUTO DE EDUCACIÓN SECUNDARIA LAS LAGUNAS","LAS LAGUNAS","INSTITUTO EDUCACIÓN SECUNDARIA LAS LAGUNAS","Púb.","AV","DE LAS CORTES VALENCIANAS","S/N",3183,"TORREVIEJA","Alacant","965710538","966706196",37.9942,-0.67435
"12003328","INSTITUT D'EDUCACIÓ SECUNDÀRIA","LLOMBAI","INSTITUT EDUCACIÓ SECUNDÀRIA LLOMBAI","Púb.","AV","CARDENAL VICENTE ENRIQUE TARANCÓN","7",12530,"BORRIANA","Castelló","964591532","964577120",39.8845,-0.07685
"12003717","COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA SAN VICENTE DE PIEDRAHITA","SAN VICENTE DE PIEDRAHITA","SAN VICENTE DE PIEDRAHITA","Púb.","PZ","DE LA IGLESIA","3",12127,"CORTES DE ARENOSO SAN VICENTE DE PIEDRAHITA","Castelló","964383807","",40.138,-0.502442
"46003974","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","SANT ANTONI ABAT","SANT ANTONI ABAT","Púb.","CL","SUECA","1",46418,"FORTALENY","València","961701128","961700357",39.1844,-0.313829
"46005120","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","BENJAMÍN BENLLOCH","BENJAMÍN BENLLOCH","Púb.","CL","TERUEL","2",46940,"MANISES","València","961545180","961545180",39.4947,-0.456525
"46005181","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","BLASCO IBÁÑEZ","BLASCO IBÁÑEZ","Púb.","CL","DIPUTACIÓN","S/N",46292,"MASSALAVÉS","València","962440582","",39.144,-0.52169
"46005326","ESCOLA INFANTIL","AUSIÀS MARCH","ESCOLA INFANTIL AUSIÀS MARCH","Púb.","CL","DOCTOR FLEMING","S/N",46470,"MASSANASSA","València","961251011","961255028",39.4147,-0.402653
"46005922","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","LLUÍS VIVES","LLUÍS VIVES","Púb.","PS","JOAN FUSTER","2",46780,"OLIVA","València","962850377","962858645",38.925,-0.12174
"46003275","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","VILLAR PALASÍ","VILLAR PALASÍ","Púb.","CL","XIQUET DE QUART","4",46930,"QUART DE POBLET","València","961545935","961545935",39.48,-0.432772
"12003651","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","ANTIGA PANDEROLA","F.P.A. ANTIGA PANDEROLA","Púb.","CL","SOLADES","25-2ª",12540,"VILA-REAL","Castelló","964526900","964506026",39.9384,-0.094915
"12004916","CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES","LLIBERTAT","F.P.A. LLIBERTAT","Púb.","PS","MARITIM","S/N",12500,"VINARÒS","Castelló","964453044","964407516",40.4693,0.477594
"46003652","COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA","MIGUEL DE CERVANTES","MIGUEL DE CERVANTES","Púb.","AV","DE LA CONSTITUCIO","S/N",46950,"XIRIVELLA","València","963132508","963132508",39.4622,-0.427576
"46011090","CENTRE DOCENT PRIVAT ESTRANGER","COLEGIO ALEMÁN DE VALENCIA","COLEGIO ALEMÁN DE VALENCIA","Priv.","CL","JAIME ROIG","14-16",46010,"VALENCIA","València","963690100","963691043",39.4816,-0.363815
